Listing warnings for log file:  C:\td\trunk\logdir\tdbuild-release-31-Thu-10-11480394.log
Total warnings in all files = 5101
Warnings:   File:
        2   ..\..\SQLWindows\share\oed\OedFindReplacePSheet.cpp
        4   c:\td\trunk\xercesSRC\xercesc/dom/DOMDocument.hpp
        2   ..\..\SQLWindows\share\oed\ACAInfo.cpp
        2   ..\Src\ExtMenuControlBar.cpp
        1   ..\..\util\include\intl.h
        1   ..\..\Util\fed\fedinit.cpp
        2   c:\td\trunk\profui\src\extpopupmenuwnd.cpp
        1   ..\..\cdk\cenres\cdk_dib.cpp
        1   ..\..\sqlsyb32\c\SQSEXE.CPP
        9   ..\..\appsrv\srvmgr\DELIMSTR.CPP
        1   ..\..\SQLWindows\share\oed\oedproc.cpp
        1   ..\..\SQLWindows\share\sal\salform.cpp
        1   ..\..\Util\gtiobj\dialogs.cpp
        1   ..\..\SQLWindows\exe\mfcui\APPSQLW.CPP
        1   ..\..\SQLWindows\share\fes\festbl.cpp
        2   ..\..\SQLWindows\share\oam\oamchang.cpp
      151   ..\..\SQLWindows\share\fes\ufcgrid.cpp
        4   c:\td\trunk\sqlwindows\exe\fed\..\..\ObjNat\res\resource.h
       95   ..\..\SQLWindows\include\tdsal.h
        1   ..\..\SQLWindows\exe\mfcui\Vwsqlw.cpp
        1   ..\..\SQLWindows\exe\dbg\dbglist.cpp
        4   ..\..\Util\gtitools\intlutil.cpp
        1   c:\td\trunk\util\gtitools\prtsetup.cpp
        8   c:\td\trunk\build\QLanguage\QSPANISH\..\..\..\util\include\..\..\SQLWindows\exe\res\resource.h
        4   ..\..\webqo\qckweb\WebContainerX.cpp
        4   ..\..\Util\tabexp\TXSTAHDR.CPP
        2   ..\Src\ExtPopupMenuWnd.cpp
        1   ..\..\xercesSRC\xercesc\util\MsgLoaders\Win32\Win32MsgLoader.cpp
        2   ..\..\ReportBuilder\rdw\spm.cpp
        1   ..\..\SQLWindows\share\oam\oamtxtio.cpp
        8   ..\..\ReportBuilder\RDW\WaterMark.cpp
        2   ..\..\QO\src\tablib\itabfram.cpp
        1   ..\..\sqlodb32\c\ODBCON.CPP
        8   c:\td\trunk\sqlwindows\share\sal\..\res\resource.h
        1   .\UnifyEditPage.cpp
        1   ..\..\SQLWindows\include\Toolmang.h
        2   ..\..\ReportBuilder\rtf\rtfutil.cpp
        2   .\UnifyReportDocument.cpp
        2   ..\..\QO\src\qckwax\centura.cpp
        1   .\UnifyRBToolbar.cpp
        1   ..\..\Util\fed\fedinfo.cpp
        1   ..\..\ReportBuilder\rdw\Fontpp.cpp
        2   ..\..\ReportBuilder\ReportBuilder\ReportBuilder.cpp
        1   ..\..\Util\tabexp\LISTCTRL.CPP
        4   ..\..\SQLWindows\exe\mfcui\Gtoolbar.cpp
        1   ..\..\SQLWindows\exe\mfcui\TOOLMANG.CPP
        6   ..\..\DBExplorer\cgreport\cgrwnd.cpp
       20   ..\..\ReportBuilder\pdf\PDFFontMgr.cpp
        3   ..\..\SQLWindows\share\sal\salfun.cpp
        1   ..\..\cdk\cenres\cdk.cpp
        5   ..\..\Components\vt\vtpic.cpp
       51   ..\..\ReportBuilder\rdw\Repgraph.cpp
        1   ..\..\sqlodb32\c\GGIADA.CPP
        8   c:\td\trunk\sqlwindows\exe\include\..\res\resource.h
        2   ..\..\QO\src\qckrpt\crepdoc.cpp
        2   ..\..\cdk\cenres\cdk_interface.cpp
        8   c:\td\trunk\build\QDBExplorer\..\..\Util\include\..\..\SQLWindows\exe\res\resource.h
        1   ..\..\cdk\cenres\cdk_resoutline.cpp
        4   ..\..\SQLWindows\share\oed\oeddlgs.cpp
        6   ..\..\Util\fed\fedform.cpp
        1   c:\td\trunk\cdk\cenres\res_textfilter.cpp
        2   ..\..\SQLWindows\exe\edc\edcwind.cpp
       10   ..\..\ReportBuilder\rdw\grertf.cpp
        8   c:\td\trunk\sqlwindows\share\oed\..\..\exe\res\resource.h
        4   ..\..\QO\src\qckgraph2\qgapi2.cpp
        1   ..\..\appsrv\srvmgr\userid.cpp
        8   ..\..\SQLWindows\share\oam\oamwat.cpp
        4   ..\..\ProfUI\Include\ExtGridWnd.h
      804   c:\td\trunk\sqlwindows\include\..\exe\res\resource.h
       44   c:\td\trunk\sqlwindows\share\oed\..\res\resource.h
        1   ..\..\SQLWindows\exe\mfcui\TOOLSDLG.CPP
        2   .\OpenSSL\include\openssl\applink.c
       15   ..\..\SQLWindows\share\fes\ufcdock.cpp
        1   ..\..\sqlsyb32\c\SQSDAS.CPP
        1   ..\..\Components\SalMail\PocoWrapper\HTMLRTFConverter.cpp
        1   .\GptGlmsReg.cpp
       15   ..\..\DBExplorer\cgquery\cond.cpp
        2   ..\..\SQLWindows\share\oed\OEDCOPT.CPP
        3   ..\..\DBExplorer\dbexplorer\QryReport.cpp
        2   ..\..\Components\gtableex\GTableex.cpp
        2   ..\Src\ExtControlBarTabbedFeatures.cpp
        6   ..\..\ReportBuilder\RDW\grergrtxt.cpp
        2   .\GptPrdPMK.def
        4   ..\..\QO\src\qcktabs\picture.cpp
        2   ..\..\QO\src\qckrpt\cpppage.cpp
